feature_set_file,feature_column,feature_type,param_config,n_dimensions,task,ari,silhouette_score,calinski_harabasz_score,inertia
params/feature_set_4.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8712,H1,0.9543509497166094,0.11759555551115035,516.490113834293,838115.6086878473
params/feature_set_4.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1267,H1,0.9543509497166094,0.12383364280503027,547.54556846373,790578.1504319692
params/feature_set_4.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8776,H1,0.9543509497166094,0.11787346048991215,518.0669611524474,840084.1628904932
params/feature_set_4.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1268,H1,0.9543509497166094,0.1241267207115207,549.2341642945734,792410.6641160294
params/feature_set_4.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8738,H1,0.9471868963860118,0.11924628939657235,525.3966007670197,840030.0829934006
params/feature_set_4.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1266,H1,0.9471868963860118,0.12556166112403927,557.0804345976024,792251.7133151413
params/feature_set_4.joblib,all_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8802,H1,0.9471868963860118,0.11951316779016882,526.9394397106131,842000.501014804
params/feature_set_4.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1267,H1,0.9471868963860118,0.1258423583038466,558.7291070755151,794091.9073036363
params/feature_set_1.joblib,hog_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",766,H1,0.9278776297404382,0.14875774455813096,668.1064242324201,485429.8652630181
params/feature_set_1.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",4382,H1,0.9278776297404382,0.14265652277125498,637.7892054097539,517374.18066782394
